pair,price,amount,type,timestamp,entry_price,entry_time,status,exit_price,exit_time,pnl,symbol
BTCUSDT,103503.87,1.0,buy,2025-05-15 21:44:16,103503.87,2025-05-14 15:55:00,open,,,,
ETHUSDT,2577.65,1.0,buy,2025-05-15 21:44:16,2577.65,2025-05-14 14:35:00,open,,,,
ETHUSDT,2577.65,1.0,buy,2025-05-15 21:44:16,2577.65,2025-05-14 14:35:00,closed,2589.15,2025-05-15 05:00:00,11.5,
ETHUSDT,2568.97,1.0,buy,2025-05-15 21:44:16,2568.97,2025-05-15 06:00:00,open,,,,
ETHUSDT,2568.97,1.0,buy,2025-05-15 21:44:16,2568.97,2025-05-15 06:00:00,closed,2564.82,2025-05-15 08:55:00,-4.149999999999636,
ETHUSDT,2560.13,1.0,buy,2025-05-15 21:44:16,2560.13,2025-05-15 09:00:00,open,,,,
XRPUSDT,2.5373,1.0,buy,2025-05-15 21:44:16,2.5373,2025-05-14 16:45:00,open,,,,
XRPUSDT,2.5373,1.0,buy,2025-05-15 21:44:16,2.5373,2025-05-14 16:45:00,closed,2.554,2025-05-14 18:30:00,0.016699999999999715,
XRPUSDT,2.5434,1.0,buy,2025-05-15 21:44:16,2.5434,2025-05-14 23:15:00,open,,,,
XRPUSDT,2.5434,1.0,buy,2025-05-15 21:44:16,2.5434,2025-05-14 23:15:00,closed,2.5664,2025-05-15 00:15:00,0.022999999999999687,
XRPUSDT,2.5484,1.0,buy,2025-05-15 21:44:16,2.5484,2025-05-15 01:25:00,open,,,,
XRPUSDT,2.5484,1.0,buy,2025-05-15 21:44:16,2.5484,2025-05-15 01:25:00,closed,2.5409,2025-05-15 03:00:00,-0.00749999999999984,
XRPUSDT,2.5053,1.0,buy,2025-05-15 21:44:16,2.5053,2025-05-15 05:35:00,open,,,,
XRPUSDT,2.5053,1.0,buy,2025-05-15 21:44:16,2.5053,2025-05-15 05:35:00,closed,2.4933,2025-05-15 08:45:00,-0.01200000000000001,
XRPUSDT,2.4652,1.0,buy,2025-05-15 21:44:16,2.4652,2025-05-15 09:40:00,open,,,,
